               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081541,            0.031699,            0.032226,             0.27212,             0.43519,             0.23551,             0.06392,            0.053529,            0.016821,            0.023872,           0.0032895,           0.0032895,            0.070395
                   1,            0.062366,            0.022787,            0.021266,             0.47076,             0.46616,              0.3806,             0.13236,            0.052713,            0.012705,            0.013314,            0.006295,            0.006295,            0.040067
                   2,            0.055719,            0.020083,            0.014196,             0.56756,             0.65571,             0.61937,             0.28659,             0.03984,             0.01306,            0.012083,           0.0089705,           0.0089705,           0.0094091
                   3,            0.045368,            0.019873,            0.011486,             0.70219,             0.64904,             0.69455,              0.3318,            0.038507,            0.013434,           0.0087662,            0.008515,            0.008515,            0.008515
                   4,            0.040919,            0.018834,            0.009029,             0.81486,             0.71089,             0.76191,             0.42095,            0.034521,            0.011457,           0.0062525,            0.008515,            0.008515,            0.008515
                   5,            0.038208,            0.018159,           0.0072603,             0.67249,             0.64188,              0.6717,             0.34237,            0.035468,            0.011654,            0.014789,             0.00802,             0.00802,             0.00802
                   6,            0.036107,            0.017687,           0.0072266,             0.82943,             0.74961,             0.78881,             0.43415,             0.03357,            0.011783,           0.0056827,            0.007525,            0.007525,            0.007525
                   7,            0.035198,            0.017674,           0.0066272,             0.83549,             0.78996,              0.8473,             0.48801,            0.030719,            0.010459,           0.0044104,             0.00703,             0.00703,             0.00703
                   8,            0.033368,            0.017463,           0.0060019,             0.76873,             0.77922,             0.80032,              0.4502,            0.030818,            0.010889,           0.0060129,            0.006535,            0.006535,            0.006535
                   9,             0.03238,            0.016382,           0.0052344,             0.84801,             0.82578,             0.85982,             0.52356,            0.028022,            0.010308,           0.0038063,             0.00604,             0.00604,             0.00604
                  10,            0.031127,            0.016549,           0.0052054,             0.84228,             0.83378,             0.85203,             0.51633,            0.029028,            0.010285,           0.0038769,            0.005545,            0.005545,            0.005545
                  11,            0.030579,            0.016528,           0.0041816,             0.85011,             0.81414,             0.86137,             0.53793,            0.027665,            0.010354,           0.0037121,             0.00505,             0.00505,             0.00505
                  12,             0.02985,            0.015551,           0.0041765,             0.85695,              0.8068,             0.86203,              0.5435,            0.027198,            0.010506,           0.0036595,            0.004555,            0.004555,            0.004555
                  13,            0.029753,            0.016162,           0.0044514,             0.84733,             0.85973,             0.88183,             0.54815,              0.0269,            0.009491,           0.0027538,             0.00406,             0.00406,             0.00406
                  14,            0.028368,            0.015019,           0.0037281,             0.83063,             0.82696,              0.8638,             0.55726,             0.02655,            0.010128,           0.0039746,            0.003565,            0.003565,            0.003565
                  15,            0.028283,            0.015749,           0.0036193,             0.84808,              0.8145,             0.86677,             0.53932,            0.028049,            0.010108,           0.0042464,             0.00307,             0.00307,             0.00307
                  16,            0.027487,            0.015571,           0.0031057,             0.85231,             0.83244,             0.88372,             0.57341,            0.025943,           0.0098207,           0.0032787,            0.002575,            0.002575,            0.002575
                  17,            0.027062,            0.015305,           0.0030609,             0.84687,             0.83614,             0.88084,             0.56784,            0.026306,           0.0099019,            0.002913,             0.00208,             0.00208,             0.00208
                  18,            0.026219,            0.014607,           0.0029667,             0.86166,             0.85133,             0.88935,             0.58286,            0.025419,           0.0096627,           0.0026964,            0.001585,            0.001585,            0.001585
                  19,            0.026019,            0.015099,           0.0027392,             0.85455,             0.86404,             0.89335,             0.58989,              0.0248,           0.0093969,           0.0027369,             0.00109,             0.00109,             0.00109
