               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046438,            0.073112,            0.016675,             0.76932,             0.61882,             0.71739,             0.46823,            0.040684,            0.036631,            0.009568,              0.0007,              0.0007,              0.0937
                   1,            0.044593,            0.066917,             0.01518,             0.79635,             0.61554,             0.72567,             0.47663,             0.04036,            0.036203,           0.0089302,            0.001005,            0.001005,            0.086005
                   2,            0.044801,            0.062191,            0.017027,             0.79781,             0.62293,             0.73408,             0.48772,             0.04009,            0.036021,           0.0085069,            0.000782,            0.000782,            0.077782
